variant,doors,policy,iterations,exact_p,mae,rmse,q10,q50,q90
classic,6,Stick,100,0.16666666666666666,0.03123333333333333,0.038439707479520586,0.11900000000000005,0.16,0.21
classic,6,Stick,300,0.16666666666666666,0.017366666666666666,0.02146055813709316,0.1396666666666667,0.16333333333333333,0.19333333333333333
classic,6,Stick,1000,0.16666666666666666,0.009063333333333333,0.01153326107877174,0.153,0.167,0.181
classic,6,Stick,3000,0.16666666666666666,0.005235000000000001,0.00669676538835479,0.15896666666666667,0.16666666666666666,0.17533333333333334
classic,6,Stick,10000,0.16666666666666666,0.0030875833333333345,0.00386721511914941,0.16177,0.167,0.17161
classic,6,Stick,30000,0.16666666666666666,0.0017351666666666665,0.0021147602963719346,0.16416333333333333,0.16688333333333333,0.16953333333333334
classic,6,Stick,100000,0.16666666666666666,0.0009224666666666667,0.0011687950823153074,0.16537,0.16674,0.168241
classic,6,Random Switch,10,0.20833333333333334,0.10395833333333332,0.13071385202460797,0.0,0.2,0.4
classic,6,Random Switch,30,0.20833333333333334,0.059958333333333336,0.07763876465901409,0.13333333333333333,0.2,0.3
classic,6,Random Switch,100,0.20833333333333334,0.032583333333333325,0.0401760016814903,0.15900000000000006,0.2,0.25
classic,6,Random Switch,300,0.20833333333333334,0.018333333333333333,0.022893473111590366,0.17666666666666667,0.20666666666666667,0.23333333333333334
classic,6,Random Switch,1000,0.20833333333333334,0.010605000000000002,0.013155459365263956,0.192,0.206,0.225
classic,6,Random Switch,3000,0.20833333333333334,0.005489166666666667,0.0070357618240276185,0.2,0.20833333333333334,0.218
classic,6,Random Switch,10000,0.20833333333333334,0.0031914999999999986,0.004093618339697914,0.2033,0.2084,0.21312
classic,6,Random Switch,30000,0.20833333333333334,0.0018939166666666668,0.002391775839552416,0.20542666666666667,0.2083,0.21150333333333332
classic,6,Random Switch,100000,0.20833333333333334,0.0010466083333333335,0.0013131295421413855,0.206619,0.20832499999999998,0.20986
classic,9,Stick,10,0.1111111111111111,0.08138888888888887,0.10347362042306624,0.0,0.1,0.2100000000000023
classic,9,Stick,30,0.1111111111111111,0.04508333333333333,0.056177078933768575,0.03333333333333333,0.1,0.2
classic,9,Stick,100,0.1111111111111111,0.026924999999999998,0.033942534952657054,0.07,0.11,0.16
classic,9,Stick,300,0.1111111111111111,0.014538888888888888,0.018263841360309934,0.08666666666666667,0.11,0.13333333333333333
classic,9,Stick,1000,0.1111111111111111,0.007517777777777779,0.009544842185477926,0.1,0.111,0.125
classic,9,Stick,3000,0.1111111111111111,0.004577222222222222,0.005731421946678171,0.10433333333333333,0.11166666666666666,0.11936666666666668
classic,9,Stick,10000,0.1111111111111111,0.0025544444444444443,0.0032328996463634302,0.10689,0.1114,0.1151
classic,9,Stick,30000,0.1111111111111111,0.0014814722222222217,0.0018801192666397849,0.10869666666666668,0.11115,0.11347
classic,9,Stick,100000,0.1111111111111111,0.0007765749999999996,0.000957793231056051,0.109879,0.111055,0.112371
classic,9,Random Switch,10,0.12698412698412698,0.08853174603174603,0.10945920569906441,0.0,0.1,0.3
classic,9,Random Switch,30,0.12698412698412698,0.046269841269841266,0.06102168265951157,0.06666666666666667,0.13333333333333333,0.2
classic,9,Random Switch,100,0.12698412698412698,0.025750000000000002,0.032029504224098164,0.09,0.125,0.17
classic,9,Random Switch,300,0.12698412698412698,0.015238095238095238,0.01913210100824449,0.10333333333333333,0.125,0.15333333333333332
classic,9,Random Switch,1000,0.12698412698412698,0.00886404761904762,0.010933497293352388,0.113,0.125,0.142
classic,9,Random Switch,3000,0.12698412698412698,0.004816111111111112,0.005956279252574,0.119,0.12733333333333333,0.13466666666666666
classic,9,Random Switch,10000,0.12698412698412698,0.0026157023809523818,0.003352718390116677,0.12328,0.1272,0.13151000000000002
classic,9,Random Switch,30000,0.12698412698412698,0.0014806547619047616,0.0018794535737021248,0.12459666666666668,0.1268,0.12957666666666667
classic,9,Random Switch,100000,0.12698412698412698,0.0008565198412698419,0.001066133933304825,0.125619,0.127115,0.128393
